x_positions,y_positions
475,823
472,820
469,818
467,816
466,814
465,812
464,811
464,810
464,809
463,809
463,809
463,809
463,809
463,809
460,806
458,804
457,803
456,803
455,804
455,805
883,603
874,612
879,606
863,612
868,606
737,597
771,616
778,620
764,621
770,626
772,624
774,621
776,619
777,617
777,616
776,615
776,614
776,613
775,613
774,613
774,613
774,613
773,613
772,613
772,612
772,612
772,611
772,610
771,610
771,610
770,610
769,610
769,611
768,612
767,612
766,612
765,612
762,612
759,612
754,614
749,615
743,615
737,615
732,614
725,613
721,612
718,612
716,612
715,611
714,611
713,611
713,612
712,612
713,613
717,617
1048,952
1048,953
1048,954
1048,954
1048,955
1049,955
1049,955
1049,947
1049,947
1049,947
1049,947
1049,951
1040,952
1040,952
1040,952
1040,952
1040,952
1040,952
1040,952
1040,952
1040,952
1040,952
1040,952
1040,952
1040,952
1040,952
1040,952
817,933
804,942
791,947
775,952
884,901
884,900
884,900
884,900
884,900
884,900
884,900
884,900
884,900
884,900
884,900
884,900
796,899
801,905
804,908
808,911
806,909
806,909
807,911
806,908
806,910
808,907
806,908
809,909
808,906
807,906
809,909
809,906
809,901
810,903
807,901
808,901
808,901
809,899
809,899
807,898
807,897
808,897
810,895
809,889
810,892
812,890
814,893
813,897
812,894
815,893
813,895
811,894
814,896
813,896
812,898
813,898
812,898
810,897
814,901
808,887
818,905
817,907
817,905
818,904
813,903
815,904
812,904
811,904
814,904
815,905
821,905
821,905
791,920
787,925
786,926
787,927
786,928
786,928
786,928
766,952
759,963
760,968
759,971
760,973
760,974
762,975
763,977
762,978
759,980
761,981
762,983
761,985
760,986
762,987
761,988
761,989
762,990
760,992
760,994
761,996
759,998
757,999
757,1001
760,1002
758,1002
756,1002
758,1003
758,1005
757,1006
759,1006
757,1007
758,1008
757,1007
755,1005
757,1005
757,1004
758,1005
759,1004
761,1003
759,1003
760,1002
760,1000
756,1001
758,1003
759,1003
758,1002
758,1003
759,1002
757,1002
760,1002
762,1002
760,1004
760,1003
763,1001
760,1002
759,1001
759,1000
759,1000
761,997
761,995
759,995
762,995
762,994
761,993
761,992
762,991
764,990
764,988
760,985
761,981
761,977
761,975
760,977
760,979
761,983
763,987
762,990
763,992
762,994
761,994
762,993
762,992
762,992
763,993
762,993
763,993
763,993
763,994
762,994
763,995
763,995
761,997
