Unnamed: 0,Unnamed: 0.1,frame_num,mouse_position
0,0,1,"[0, 0]"
1,1,2,"[772, 627]"
2,2,3,"[772, 627]"
3,3,4,"[792, 633]"
4,4,5,"[841, 652]"
5,5,6,"[861, 657]"
6,6,7,"[864, 658]"
7,7,8,"[864, 658]"
8,8,9,"[864, 658]"
9,9,10,"[864, 658]"
10,10,11,"[864, 658]"
11,11,12,"[864, 658]"
12,12,13,"[864, 658]"
13,13,14,"[807, 658]"
14,14,15,"[642, 631]"
15,15,16,"[563, 618]"
16,16,17,"[554, 618]"
17,17,18,"[554, 632]"
18,18,19,"[554, 640]"
19,19,20,"[554, 640]"
20,20,21,"[554, 640]"
21,21,22,"[554, 640]"
22,22,23,"[554, 640]"
23,23,24,"[554, 640]"
24,24,25,"[554, 640]"
25,25,26,"[554, 640]"
26,26,27,"[554, 640]"
27,27,28,"[554, 640]"
28,28,29,"[554, 640]"
29,29,30,"[554, 640]"
30,30,31,"[554, 640]"
31,31,32,"[554, 640]"
32,32,33,"[667, 560]"
33,33,34,"[796, 487]"
34,34,35,"[897, 433]"
35,35,36,"[899, 432]"
36,36,37,"[899, 431]"
37,37,38,"[899, 431]"
38,38,39,"[899, 431]"
39,39,40,"[899, 431]"
40,40,41,"[899, 431]"
41,41,42,"[899, 431]"
42,42,43,"[899, 431]"
43,43,44,"[899, 431]"
44,44,45,"[899, 431]"
45,45,46,"[868, 454]"
46,46,47,"[778, 512]"
47,47,48,"[676, 586]"
48,48,49,"[623, 628]"
49,49,50,"[619, 630]"
50,50,51,"[619, 630]"
51,51,52,"[619, 630]"
52,52,53,"[632, 620]"
53,53,54,"[783, 529]"
54,54,55,"[924, 462]"
55,55,56,"[964, 440]"
56,56,57,"[964, 439]"
57,57,58,"[913, 478]"
58,58,59,"[758, 631]"
59,59,60,"[680, 720]"
60,60,61,"[677, 724]"
61,61,62,"[734, 640]"
62,62,63,"[826, 537]"
63,63,64,"[865, 504]"
64,64,65,"[865, 527]"
65,65,66,"[811, 603]"
66,66,67,"[753, 672]"
67,67,68,"[749, 675]"
68,68,69,"[749, 675]"
69,69,70,"[788, 626]"
70,70,71,"[796, 621]"
71,71,72,"[796, 621]"
72,72,73,"[796, 636]"
73,73,74,"[792, 648]"
74,74,75,"[791, 649]"
75,75,76,"[791, 649]"
76,76,77,"[791, 649]"
77,77,78,"[791, 649]"
78,78,79,"[791, 649]"
79,79,80,"[791, 649]"
80,80,81,"[791, 649]"
81,81,82,"[791, 649]"
82,82,83,"[791, 649]"
83,83,84,"[791, 649]"
84,84,85,"[791, 649]"
85,85,86,"[791, 649]"
86,86,87,"[791, 649]"
87,87,88,"[791, 649]"
88,88,89,"[791, 649]"
89,89,90,"[791, 649]"
90,90,91,"[791, 649]"
91,91,92,"[791, 649]"
92,92,93,"[791, 649]"
93,93,94,"[791, 649]"
94,94,95,"[791, 649]"
95,95,96,"[791, 649]"
96,96,97,"[791, 649]"
97,97,98,"[791, 649]"
