,frame_num,mouse_position
0,0,0
1,460,499
2,459,499
3,459,499
4,458,499
5,458,499
6,458,499
7,457,499
8,457,499
9,457,499
10,457,500
11,457,500
12,453,502
13,451,504
14,449,505
15,446,506
16,444,507
17,443,507
18,443,507
19,442,507
20,442,508
21,442,508
22,442,508
23,442,508
24,442,508
25,438,511
26,436,512
27,433,514
28,430,515
29,429,515
30,429,516
31,429,516
32,429,516
33,428,516
34,424,518
35,421,520
36,417,521
37,415,522
38,410,524
39,407,525
40,406,525
41,405,525
42,402,526
43,398,528
44,389,529
45,384,530
46,377,531
47,357,532
48,334,534
49,322,534
50,313,534
51,306,534
52,301,534
53,297,534
54,297,534
55,297,534
56,296,534
57,289,534
58,281,534
59,272,534
60,255,534
61,247,534
62,240,534
63,234,535
64,229,537
65,223,538
66,219,540
67,215,541
68,212,542
69,210,543
70,207,544
71,203,545
72,200,546
73,196,547
74,189,549
75,185,550
76,181,551
77,174,552
78,170,553
79,167,554
80,163,555
81,160,556
82,155,558
83,153,559
84,151,560
85,150,561
86,150,561
87,150,560
88,148,559
89,147,559
90,147,559
91,146,559
92,146,559
93,146,558
94,145,558
95,145,558
96,138,555
97,133,553
98,127,550
99,122,546
100,118,544
101,115,543
102,112,541
103,112,541
104,111,540
105,111,540
106,111,540
107,111,540
108,110,540
109,110,540
110,110,540
111,109,539
112,108,536
113,106,533
114,103,531
115,101,530
116,100,529
117,99,529
118,99,530
119,99,531
120,99,532
121,99,532
122,99,533
123,99,533
124,99,534
